Coordinated_Universal_Time,Pt_Longitude, Pt_Latitude,   Pt_Radius,    Pt_Range, Pt_PulseW, Pt_Energy,Pt_noi,Pt_Thr, Pt_Gn,   Flg,S,Frm,Mission_ET,   Subseconds,Terrestrial_Dyn_Time, TX_Energy_mJ,TX_PulseW,SC_Longitude, SC_Latitude,   SC_radius,     Geoid,Offnadir,Emission, Sol_INC, Sol_Phs, Earth_Centr.,Earth_PW,Earth_E.
2010-01-27T06:19:46.69239587,  99.0638188,  60.0009536, 1734.880452,   56.939335,    24.047,    0.0453,     3, 30.79, 50.21,   0,1, 16,  19235960, 0.5810815291, 317845252.876395881,    2.579266,     8.645,  99.0805915,  59.9991152, 1791.819719,1736.94382,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.69239587,  99.0646024,  60.0000881, 1734.879456,   56.940257,    21.055,    0.0321,     6, 29.00, 49.87,   0,2, 16,  19235960, 0.5810815291, 317845252.876395881,    2.579266,     8.645,  99.0805915,  59.9991152, 1791.819719,1736.94382,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.69239587,  99.0620693,  60.0005710, 1734.879037,   56.940868,    18.325,    0.0299,     7, 29.57, 49.97,   0,3, 16,  19235960, 0.5810815291, 317845252.876395881,    2.579266,     8.645,  99.0805915,  59.9991152, 1791.819719,1736.94382,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.69239587,  99.0629983,  60.0018104, 1734.881166,   56.938711,    17.867,    0.0328,     8, 25.87, 49.23,   0,4, 16,  19235960, 0.5810815291, 317845252.876395881,    2.579266,     8.645,  99.0805915,  59.9991152, 1791.819719,1736.94382,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.69239587,  99.0655132,  60.0013276, 1734.881786,   56.937900,    21.971,    0.0403,     7, 30.11, 50.16,   0,5, 16,  19235960, 0.5810815291, 317845252.876395881,    2.579266,     8.645,  99.0805915,  59.9991152, 1791.819719,1736.94382,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.72810972,  99.0638937,  60.0028400, 1734.882528,   56.937246,    23.681,    0.0508,     4, 30.79, 50.21,   0,1, 17,  19235960, 0.6167953997, 317845252.912109733,    2.579266,     8.674,  99.0806666,  60.0010015, 1791.819706,1736.94381,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.72810972,  99.0646773,  60.0019745, 1734.881820,   56.937881,    20.577,    0.0252,     5, 29.00, 49.87,   0,2, 17,  19235960, 0.6167953997, 317845252.912109733,    2.579266,     8.674,  99.0806666,  60.0010015, 1791.819706,1736.94381,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.72810972,  99.0621441,  60.0024575, 1734.881020,   56.938873,    19.676,    0.0335,     9, 29.57, 49.97,   0,3, 17,  19235960, 0.6167953997, 317845252.912109733,    2.579266,     8.674,  99.0806666,  60.0010015, 1791.819706,1736.94381,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.72810972,  99.0630729,  60.0036968, 1734.882430,   56.937435,    22.877,    0.0393,     6, 25.87, 49.23,   0,4, 17,  19235960, 0.6167953997, 317845252.912109733,    2.579266,     8.674,  99.0806666,  60.0010015, 1791.819706,1736.94381,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.72810972,  99.0655880,  60.0032140, 1734.883565,   56.936109,    21.859,    0.0456,     5, 30.11, 50.16,   0,5, 17,  19235960, 0.6167953997, 317845252.912109733,    2.579266,     8.674,  99.0806666,  60.0010015, 1791.819706,1736.94381,   0.264,   0.272,  76.582,  76.802, 0.0000000000,   0.000,   5.517
2010-01-27T06:19:46.76382464,  99.0639687,  60.0047265, 1734.884757,   56.935005,    21.598,    0.0486,     5, 30.79, 50.21,   0,1, 18,  19235960, 0.6525102758, 317845252.947824657,    2.579266,     8.589,  99.0807417,  60.0028879, 1791.819694,1736.94380,   0.264,   0.272,  76.584,  76.805, 0.0010686286,   0.000,   6.481
2010-01-27T06:19:46.76382464,  99.0647521,  60.0038610, 1734.883423,   56.936266,    23.054,    0.0301,     8, 29.00, 49.87,   0,2, 18,  19235960, 0.6525102758, 317845252.947824657,    2.579266,     8.589,  99.0807417,  60.0028879, 1791.819694,1736.94380,   0.264,   0.272,  76.584,  76.805, 0.0010686286,   0.000,   6.481
2010-01-27T06:19:46.76382464,  99.0622190,  60.0043440, 1734.883091,   56.936790,    19.338,    0.0335,     8, 29.57, 49.97,   0,3, 18,  19235960, 0.6525102758, 317845252.947824657,    2.579266,     8.589,  99.0807417,  60.0028879, 1791.819694,1736.94380,   0.264,   0.272,  76.584,  76.805, 0.0010686286,   0.000,   6.481
2010-01-27T06:19:46.76382464,  99.0631478,  60.0055833, 1734.884387,   56.935466,    19.725,    0.0372,     6, 25.87, 49.23,   0,4, 18,  19235960, 0.6525102758, 317845252.947824657,    2.579266,     8.589,  99.0807417,  60.0028879, 1791.819694,1736.94380,   0.264,   0.272,  76.584,  76.805, 0.0010686286,   0.000,   6.481
2010-01-27T06:19:46.76382464,  99.0656631,  60.0051005, 1734.886044,   56.933618,    22.028,    0.0403,     6, 30.11, 50.16,   0,5, 18,  19235960, 0.6525102758, 317845252.947824657,    2.579266,     8.589,  99.0807417,  60.0028879, 1791.819694,1736.94380,   0.264,   0.272,  76.584,  76.805, 0.0010686286,   0.000,   6.481
2010-01-27T06:19:46.79953861,  99.0640429,  60.0066129, 1734.885063,   56.934686,    24.187,    0.0475,     6, 30.79, 50.21,   0,1, 19,  19235960, 0.6882242505, 317845252.983538628,    2.599736,     8.730,  99.0808169,  60.0047742, 1791.819682,1736.94379,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   6.481
2010-01-27T06:19:46.79953861,  99.0648270,  60.0057474, 1734.885683,   56.933994,    20.211,    0.0291,     7, 29.00, 49.87,   0,2, 19,  19235960, 0.6882242505, 317845252.983538628,    2.599736,     8.730,  99.0808169,  60.0047742, 1791.819682,1736.94379,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   6.481
2010-01-27T06:19:46.79953861,  99.0622929,  60.0062304, 1734.882797,   56.937072,    20.267,    0.0323,     6, 29.57, 49.97,   0,3, 19,  19235960, 0.6882242505, 317845252.983538628,    2.599736,     8.730,  99.0808169,  60.0047742, 1791.819682,1736.94379,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   6.481
2010-01-27T06:19:46.79953861,  99.0632216,  60.0074698, 1734.883452,   56.936388,    19.499,    0.0350,     7, 25.87, 49.23,   0,4, 19,  19235960, 0.6882242505, 317845252.983538628,    2.599736,     8.730,  99.0808169,  60.0047742, 1791.819682,1736.94379,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   6.481
2010-01-27T06:19:46.79953861,  99.0657378,  60.0069868, 1734.887930,   56.931719,    20.705,    0.0435,    11, 30.11, 50.16,   0,5, 19,  19235960, 0.6882242505, 317845252.983538628,    2.599736,     8.730,  99.0808169,  60.0047742, 1791.819682,1736.94379,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   6.481
2010-01-27T06:19:46.83525342,  99.0641158,  60.0084988, 1734.884974,   56.934764,    23.793,    0.0453,     5, 30.79, 50.21,   0,1, 20,  19235960, 0.7239390684, 317845253.019253433,    2.620207,     8.842,  99.0808920,  60.0066606, 1791.819670,1736.94378,   0.264,   0.272,  76.584,  76.805, 0.0063352552,   0.000,   2.962
2010-01-27T06:19:46.83525342,  99.0649001,  60.0076333, 1734.886467,   56.933197,    21.365,    0.0291,     8, 29.00, 49.87,   0,2, 20,  19235960, 0.7239390684, 317845253.019253433,    2.620207,     8.842,  99.0808920,  60.0066606, 1791.819670,1736.94378,   0.264,   0.272,  76.584,  76.805, 0.0063352552,   0.000,   2.962
2010-01-27T06:19:46.83525342,  99.0623654,  60.0081163, 1734.881868,   56.937989,    18.522,    0.0299,    10, 29.57, 49.97,   0,3, 20,  19235960, 0.7239390684, 317845253.019253433,    2.620207,     8.842,  99.0808920,  60.0066606, 1791.819670,1736.94378,   0.264,   0.272,  76.584,  76.805, 0.0063352552,   0.000,   2.962
2010-01-27T06:19:46.83525342,  99.0632947,  60.0093556, 1734.884192,   56.935637,    22.849,    0.0372,     4, 25.87, 49.23,   0,4, 20,  19235960, 0.7239390684, 317845253.019253433,    2.620207,     8.842,  99.0808920,  60.0066606, 1791.819670,1736.94378,   0.264,   0.272,  76.584,  76.805, 0.0063352552,   0.000,   2.962
2010-01-27T06:19:46.83525342,  99.0658110,  60.0088727, 1734.888678,   56.930960,    23.576,    0.0445,    11, 30.11, 50.16,   0,5, 20,  19235960, 0.7239390684, 317845253.019253433,    2.620207,     8.842,  99.0808920,  60.0066606, 1791.819670,1736.94378,   0.264,   0.272,  76.584,  76.805, 0.0063352552,   0.000,   2.962
2010-01-27T06:19:46.87096834,  99.0641886,  60.0103847, 1734.884715,   56.935011,    24.919,    0.0530,     4, 30.79, 50.21,   0,1, 21,  19235960, 0.7596540165, 317845253.054968357,    2.579266,     8.645,  99.0809671,  60.0085470, 1791.819658,1736.94377,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   2.962
2010-01-27T06:19:46.87096834,  99.0649731,  60.0095192, 1734.886485,   56.933168,    22.660,    0.0291,     8, 29.00, 49.87,   0,2, 21,  19235960, 0.7596540165, 317845253.054968357,    2.579266,     8.645,  99.0809671,  60.0085470, 1791.819658,1736.94377,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   2.962
2010-01-27T06:19:46.87096834,  99.0624382,  60.0100022, 1734.881845,   56.937999,    20.154,    0.0335,     6, 29.57, 49.97,   0,3, 21,  19235960, 0.7596540165, 317845253.054968357,    2.579266,     8.645,  99.0809671,  60.0085470, 1791.819658,1736.94377,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   2.962
2010-01-27T06:19:46.87096834,  99.0633674,  60.0112415, 1734.883595,   56.936222,    22.709,    0.0361,     5, 25.87, 49.23,   0,4, 21,  19235960, 0.7596540165, 317845253.054968357,    2.579266,     8.645,  99.0809671,  60.0085470, 1791.819658,1736.94377,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   2.962
2010-01-27T06:19:46.87096834,  99.0658844,  60.0107585, 1734.889849,   56.929776,    21.662,    0.0414,     7, 30.11, 50.16,   0,5, 21,  19235960, 0.7596540165, 317845253.054968357,    2.579266,     8.645,  99.0809671,  60.0085470, 1791.819658,1736.94377,   0.264,   0.272,  76.584,  76.805, 0.0000000000,   0.000,   2.962
2010-01-27T06:19:46.90668225,  99.0642631,  60.0122708, 1734.886934,   56.932780,    24.131,    0.0432,     5, 30.79, 50.21,   0,1, 22,  19235960, 0.7953679131, 317845253.090682268,    2.620207,     8.617,  99.0810423,  60.0104333, 1791.819646,1736.94376,   0.264,   0.272,  76.587,  76.808, 0.0000000000,   0.000,   2.962
2010-01-27T06:19:46.90668225,  99.0650473,  60.0114054, 1734.887725,   56.931915,    22.378,    0.0301,    10, 29.00, 49.87,   0,2, 22,  19235960, 0.7953679131, 317845253.090682268,    2.620207,     8.617,  99.0810423,  60.0104333, 1791.819646,1736.94376,   0.264,   0.272,  76.587,  76.808, 0.0000000000,   0.000,   2.962
